
### sal_sample_order (34 cols)
  id | bigint unsigned | null=NO | key=PRI | def=null
  order_no | varchar(50) | null=NO | key=UNI | def=null
  notify_date | date | null=YES | key=MUL | def=null
  customer_id | bigint unsigned | null=YES | key=MUL | def=null
  customer_name | varchar(100) | null=YES | key= | def=null
  product_name | varchar(200) | null=YES | key= | def=null
  material_no | varchar(50) | null=YES | key= | def=null
  version | varchar(20) | null=YES | key= | def=A
  size_spec | varchar(200) | null=YES | key= | def=null
  material_spec | varchar(200) | null=YES | key= | def=null
  specification | varchar(200) | null=YES | key= | def=null
  quantity | int | null=YES | key= | def=0
  order_date | date | null=YES | key= | def=null
  customer_require_date | date | null=YES | key= | def=null
  delivery_date | date | null=YES | key= | def=null
  actual_delivery_date | date | null=YES | key= | def=null
  delivery_status | varchar(20) | null=YES | key= | def=pending
  status | varchar(20) | null=YES | key=MUL | def=pending
  remark | text | null=YES | key= | def=null
  create_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  update_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  create_by | bigint unsigned | null=YES | key= | def=null
  process_card_id | bigint unsigned | null=YES | key= | def=null
  work_order_id | bigint unsigned | null=YES | key= | def=null
  sales_order_id | bigint unsigned | null=YES | key= | def=null
  sample_fee | decimal(18,4) | null=YES | key= | def=0.0000
  fee_charged | tinyint | null=YES | key= | def=0
  fee_deductible | tinyint | null=YES | key= | def=0
  fee_deducted | tinyint | null=YES | key= | def=0
  sample_version | int | null=YES | key= | def=1
  parent_version_id | bigint unsigned | null=YES | key= | def=null
  converted_at | datetime | null=YES | key= | def=null
  converted_by | bigint unsigned | null=YES | key= | def=null
  deleted | tinyint | null=YES | key= | def=0

### prd_standard_card (94 cols)
  id | bigint unsigned | null=NO | key=PRI | def=null
  card_no | varchar(50) | null=NO | key=UNI | def=null
  name | varchar(200) | null=YES | key= | def=null
  type | varchar(20) | null=YES | key= | def=process
  customer_id | bigint unsigned | null=YES | key=MUL | def=null
  customer_name | varchar(100) | null=YES | key= | def=null
  customer_code | varchar(50) | null=YES | key= | def=null
  product_name | varchar(100) | null=YES | key= | def=null
  version | varchar(10) | null=YES | key= | def=null
  effective_date | date | null=YES | key= | def=null
  expiry_date | date | null=YES | key= | def=null
  create_user | int | null=YES | key= | def=null
  audit_user | int | null=YES | key= | def=null
  date | date | null=YES | key= | def=null
  document_code | varchar(50) | null=YES | key= | def=null
  finished_size | varchar(50) | null=YES | key= | def=null
  tolerance | varchar(50) | null=YES | key= | def=null
  material_name | varchar(100) | null=YES | key= | def=null
  material_type | varchar(20) | null=YES | key= | def=null
  mold_type | varchar(100) | null=YES | key= | def=
  layout_type | varchar(50) | null=YES | key= | def=null
  spacing | varchar(20) | null=YES | key= | def=null
  spacing_value | varchar(20) | null=YES | key= | def=null
  sheet_width | varchar(20) | null=YES | key= | def=null
  sheet_length | varchar(20) | null=YES | key= | def=null
  core_type | varchar(50) | null=YES | key= | def=null
  paper_direction | varchar(20) | null=YES | key= | def=null
  roll_width | varchar(20) | null=YES | key= | def=null
  paper_edge | varchar(20) | null=YES | key= | def=null
  standard_usage | varchar(50) | null=YES | key= | def=null
  jump_distance | varchar(20) | null=YES | key= | def=null
  process_flow1 | varchar(100) | null=YES | key= | def=null
  process_flow2 | varchar(100) | null=YES | key= | def=null
  print_type | varchar(50) | null=YES | key= | def=null
  first_jump_distance | varchar(20) | null=YES | key= | def=null
  sequences | json | null=YES | key= | def=null
  film_manufacturer | varchar(100) | null=YES | key= | def=null
  film_code | varchar(50) | null=YES | key= | def=null
  film_size | varchar(50) | null=YES | key= | def=null
  process_method | varchar(50) | null=YES | key= | def=null
  stamping_method | varchar(50) | null=YES | key= | def=null
  mold_code | varchar(50) | null=YES | key= | def=null
  back_mold_code | varchar(50) | null=YES | key= | def=null
  layout_method | varchar(50) | null=YES | key= | def=null
  layout_way | varchar(50) | null=YES | key= | def=null
  jump_distance2 | varchar(20) | null=YES | key= | def=null
  mylar_material | varchar(100) | null=YES | key= | def=null
  mylar_specs | varchar(50) | null=YES | key= | def=null
  mylar_layout | varchar(50) | null=YES | key= | def=null
  mylar_jump | varchar(20) | null=YES | key= | def=null
  adhesive_type | varchar(50) | null=YES | key= | def=null
  adhesive_manufacturer | varchar(100) | null=YES | key= | def=null
  adhesive_code | varchar(50) | null=YES | key= | def=null
  adhesive_size | varchar(50) | null=YES | key= | def=null
  adhesive_specs | varchar(50) | null=YES | key= | def=null
  dashed_knife | tinyint | null=YES | key= | def=0
  slice_per_row | varchar(20) | null=YES | key= | def=null
  slice_per_roll | varchar(20) | null=YES | key= | def=null
  slice_per_bundle | varchar(20) | null=YES | key= | def=null
  slice_per_bag | varchar(20) | null=YES | key= | def=null
  slice_per_box | varchar(20) | null=YES | key= | def=null
  packing_qty | varchar(20) | null=YES | key= | def=null
  back_knife_mold | varchar(50) | null=YES | key= | def=null
  back_mylar_mold | varchar(50) | null=YES | key= | def=null
  etch_mold | varchar(100) | null=YES | key= | def=
  storage_location | varchar(100) | null=YES | key= | def=
  extra_field | varchar(100) | null=YES | key= | def=
  release_paper_code | varchar(50) | null=YES | key= | def=null
  release_paper_type | varchar(50) | null=YES | key= | def=null
  release_paper_category | varchar(50) | null=YES | key= | def=null
  release_paper_specs | varchar(50) | null=YES | key= | def=null
  padding_material | varchar(100) | null=YES | key= | def=null
  packing_material | varchar(100) | null=YES | key= | def=null
  special_color | varchar(200) | null=YES | key= | def=null
  color_formula | varchar(200) | null=YES | key= | def=null
  file_path | varchar(200) | null=YES | key= | def=null
  sample_info | varchar(200) | null=YES | key= | def=null
  notes | text | null=YES | key= | def=null
  remark | text | null=YES | key= | def=null
  glue_type | varchar(50) | null=YES | key= | def=null
  packing_type | varchar(50) | null=YES | key= | def=null
  creator | varchar(50) | null=YES | key= | def=null
  reviewer | varchar(50) | null=YES | key= | def=null
  factory_manager | varchar(50) | null=YES | key= | def=null
  quality_manager | varchar(50) | null=YES | key= | def=null
  sales | varchar(50) | null=YES | key= | def=null
  approver | varchar(50) | null=YES | key= | def=null
  status | tinyint | null=YES | key=MUL | def=1
  create_by | bigint unsigned | null=YES | key=MUL | def=null
  reviewer_id | bigint unsigned | null=YES | key=MUL | def=null
  create_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  update_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  deleted | tinyint | null=NO | key= | def=0
  update_by | bigint unsigned | null=YES | key= | def=null

### sal_sample_inventory (14 cols)
  id | bigint unsigned | null=NO | key=PRI | def=null
  sample_order_id | bigint unsigned | null=YES | key=MUL | def=null
  product_name | varchar(200) | null=YES | key= | def=null
  material_no | varchar(50) | null=YES | key= | def=null
  quantity | int | null=YES | key= | def=0
  unit | varchar(20) | null=YES | key= | def=pcs
  warehouse_id | bigint unsigned | null=YES | key= | def=null
  status | varchar(20) | null=YES | key= | def=available
  sent_to | varchar(200) | null=YES | key= | def=null
  sent_date | date | null=YES | key= | def=null
  remark | text | null=YES | key= | def=null
  create_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  update_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  deleted | tinyint | null=YES | key= | def=0

### sal_sample_feedback (10 cols)
  id | bigint unsigned | null=NO | key=PRI | def=null
  sample_order_id | bigint unsigned | null=NO | key=MUL | def=null
  round | int | null=NO | key= | def=1
  feedback_content | text | null=YES | key= | def=null
  modification_requirements | text | null=YES | key= | def=null
  confirmation_status | varchar(20) | null=YES | key= | def=pending
  feedback_by | varchar(100) | null=YES | key= | def=null
  feedback_time | datetime | null=YES | key= | def=null
  create_time | datetime | null=YES | key= | def=CURRENT_TIMESTAMP
  deleted | tinyint | null=YES | key= | def=0

### sal_sample_quotation -- ERROR: ER_NO_SUCH_TABLE Table 'vnerpdacahng.sal_sample_quotation' doesn't exist

### prod_work_order (35 cols)
  id | bigint unsigned | null=NO | key=PRI | def=null
  work_order_no | varchar(50) | null=NO | key=UNI | def=null
  order_id | bigint unsigned | null=YES | key= | def=null
  order_no | varchar(50) | null=YES | key=MUL | def=null
  bom_id | bigint unsigned | null=YES | key= | def=null
  customer_name | varchar(200) | null=YES | key= | def=null
  product_name | varchar(200) | null=YES | key= | def=null
